               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.014478,            0.017712,          0.00062795,             0.90938,             0.48684,             0.47245,             0.39543,            0.026268,           0.0082016,          0.00046577,            0.005248,            0.005248,            0.005248
                 146,            0.013678,            0.016039,          0.00058976,             0.90509,                 0.5,             0.54529,             0.42107,             0.02622,           0.0082502,          0.00045681,            0.005215,            0.005215,            0.005215
                 147,            0.013818,            0.016454,          0.00056743,             0.89807,                 0.5,             0.56033,              0.4096,            0.027174,            0.008028,          0.00047798,            0.005182,            0.005182,            0.005182
                 148,            0.013826,            0.017153,          0.00052345,             0.95226,                 0.5,             0.49124,             0.40175,            0.027406,           0.0081654,          0.00058503,            0.005149,            0.005149,            0.005149
                 149,            0.013784,            0.016507,          0.00067451,             0.90576,                 0.5,             0.51016,             0.40881,            0.026772,           0.0077229,           0.0017335,            0.005116,            0.005116,            0.005116
                 150,            0.014355,            0.016781,          0.00062297,             0.65287,               0.625,              0.5478,             0.42629,            0.024874,           0.0077229,           0.0018922,            0.005083,            0.005083,            0.005083
                 151,            0.013844,            0.017035,          0.00067192,             0.61358,              0.5625,             0.52765,             0.41375,            0.023824,           0.0079451,           0.0011056,             0.00505,             0.00505,             0.00505
                 152,             0.01358,            0.016303,           0.0006367,             0.40549,                 0.5,             0.47771,             0.40354,            0.022047,           0.0080118,            0.001825,            0.005017,            0.005017,            0.005017
                 153,             0.01344,             0.01568,          0.00068832,             0.92078,             0.48924,             0.46802,               0.404,            0.022904,           0.0078993,           0.0023535,            0.004984,            0.004984,            0.004984
                 154,            0.013173,            0.016326,          0.00065953,             0.91726,                 0.5,             0.47538,             0.40844,            0.024046,           0.0079489,           0.0023468,            0.004951,            0.004951,            0.004951
                 155,            0.013613,            0.016648,          0.00056955,             0.40466,                 0.5,             0.48619,             0.40546,            0.026181,           0.0077634,           0.0016291,            0.004918,            0.004918,            0.004918
