               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.015397,            0.017705,           0.0010576,             0.93993,             0.47368,             0.46754,             0.39158,            0.027844,           0.0091534,           0.0020523,            0.005743,            0.005743,            0.005743
                 131,            0.016109,            0.017475,          0.00086429,             0.89714,                 0.5,             0.55972,              0.4075,            0.025601,           0.0085583,           0.0056357,             0.00571,             0.00571,             0.00571
                 132,            0.016003,            0.018614,          0.00097032,             0.89847,                 0.5,             0.58422,             0.41855,            0.024668,           0.0087261,            0.005247,            0.005677,            0.005677,            0.005677
                 133,            0.015263,            0.016982,          0.00082861,             0.91183,                 0.5,             0.51705,             0.37685,            0.027451,           0.0094156,            0.001468,            0.005644,            0.005644,            0.005644
                 134,            0.014947,             0.01829,          0.00080677,             0.89684,                 0.5,             0.60948,             0.40894,            0.029551,           0.0097451,           0.0012017,            0.005611,            0.005611,            0.005611
                 135,            0.014056,            0.017674,          0.00069667,             0.89588,                 0.5,             0.59613,             0.44517,            0.027612,           0.0089931,           0.0013799,            0.005578,            0.005578,            0.005578
                 136,            0.015874,            0.018899,          0.00092889,             0.89002,                 0.5,             0.54984,             0.40559,            0.029219,           0.0085993,            0.000331,            0.005545,            0.005545,            0.005545
                 137,            0.016309,            0.018271,          0.00080339,             0.90181,                 0.5,              0.4516,             0.38688,            0.031064,           0.0084901,           0.0002995,            0.005512,            0.005512,            0.005512
                 138,            0.015372,             0.01796,           0.0011728,             0.92125,             0.47368,             0.45623,             0.38921,            0.029786,           0.0085115,           0.0003211,            0.005479,            0.005479,            0.005479
                 139,            0.015016,            0.017603,          0.00079106,             0.89616,                 0.5,             0.52073,             0.41967,             0.02837,           0.0084934,          0.00031701,            0.005446,            0.005446,            0.005446
                 140,            0.014745,            0.017204,           0.0010076,             0.89459,                 0.5,             0.51453,             0.40573,            0.027953,           0.0088758,          0.00033655,            0.005413,            0.005413,            0.005413
                 141,            0.014842,            0.018403,          0.00064325,             0.89696,                 0.5,              0.5276,              0.4268,            0.027355,           0.0086727,          0.00041299,             0.00538,             0.00538,             0.00538
                 142,            0.015982,            0.019018,          0.00068016,             0.89025,                 0.5,             0.58439,             0.43801,             0.02774,           0.0084915,          0.00036359,            0.005347,            0.005347,            0.005347
                 143,            0.014408,            0.018155,          0.00072524,             0.89527,                 0.5,             0.60597,             0.42182,            0.029847,           0.0083561,          0.00033565,            0.005314,            0.005314,            0.005314
                 144,            0.015295,            0.018571,          0.00097965,             0.92149,                 0.5,             0.57864,             0.41203,            0.030942,           0.0086122,          0.00033023,            0.005281,            0.005281,            0.005281
                 145,            0.014722,            0.018857,          0.00069393,             0.93381,             0.47368,              0.5138,             0.39842,            0.030134,           0.0087833,          0.00031087,            0.005248,            0.005248,            0.005248
                 146,            0.014174,            0.017009,          0.00073858,             0.89836,                 0.5,             0.58945,             0.41635,            0.026799,           0.0088758,          0.00031216,            0.005215,            0.005215,            0.005215
                 147,             0.01439,             0.01753,          0.00060853,             0.89982,                 0.5,             0.59019,             0.42364,            0.026924,           0.0086665,          0.00031514,            0.005182,            0.005182,            0.005182
                 148,            0.014871,            0.018165,          0.00064678,             0.90285,                 0.5,             0.52694,             0.40799,            0.027329,           0.0086889,          0.00028405,            0.005149,            0.005149,            0.005149
                 149,            0.014893,            0.017856,          0.00085915,             0.89725,                 0.5,             0.55292,             0.43103,            0.025514,           0.0084238,          0.00033145,            0.005116,            0.005116,            0.005116
                 150,            0.015463,            0.018146,          0.00073886,             0.89763,             0.59073,             0.62141,              0.4305,            0.024464,           0.0084362,           0.0003758,            0.005083,            0.005083,            0.005083
                 151,            0.014731,             0.01845,          0.00088348,             0.89694,                 0.5,             0.54551,             0.42749,            0.026293,           0.0085783,          0.00034559,             0.00505,             0.00505,             0.00505
                 152,            0.014174,            0.017455,           0.0012789,             0.94096,             0.46053,             0.46565,             0.40407,            0.023026,           0.0083809,          0.00055389,            0.005017,            0.005017,            0.005017
